date,Brahmanbaria,Satkhira,Chittagong,Magura,Kushtia,Chandpur,Panchagarh,Mymensingh,Nilphamari,Narail,Gopalganj,Manikganj,Unknown,Meherpur,Feni,Noakhali,Barguna,Gazipur,Pirojpur,Jamalpur,Dhaka,Natore,Chuadanga,Naogaon,Rangpur,Bogra,Narsingdi,Cox's Bazar,Sunamganj,Jaipurhat,Madaripur,Bhola,Comilla,Khagrachhari,Rajbari,Faridpur,Dinajpur,Sylhet,Chapainawabganj,Rajshahi,Munshiganj,Pabna,Sherpur,Rangamati,Thakurgaon,Habiganj,Sirajganj,Jhenaidah,Netrokona,Tangail,Bagerhat,Barisal,Gaibandha,Kishoreganj,Bandarban,Kurigram,Shariatpur,Lalmonirhat,Lakshmipur,Narayanganj,Jessore,Maulvibazar,Khulna,Jhalokati,Patuakhali
2020-04-13,0,2,9,0,0,0,1,0,0,0,0,0,244,0,1,1,0,0,0,1,26,0,1,3,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,1,9,1,0,0,1,1,0,0,0,0,0,2,1,0,0,0,0
2020-04-14,0,0,3,0,0,0,0,1,0,0,0,0,248,0,0,0,0,1,0,0,19,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,1,0,0,0
2020-04-15,0,0,3,0,1,0,0,0,0,0,2,0,203,0,0,1,0,1,0,1,30,0,0,2,0,3,0,0,0,0,0,0,2,1,0,3,1,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,3,0,0,0,0,0,5,1,0,1,0,0
2020-04-16,1,1,6,0,1,0,1,0,0,0,1,1,123,0,0,0,0,0,0,0,27,0,0,0,0,0,2,0,0,0,0,0,0,0,1,2,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,0,0
2020-04-17,1,0,6,0,0,1,0,1,1,0,0,0,201,0,0,0,0,5,0,0,47,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,2,1,0
2020-04-18,0,0,0,0,1,0,0,1,1,0,0,0,172,0,0,0,0,0,0,1,27,0,0,0,1,1,1,0,0,0,0,0,0,0,0,3,1,0,0,0,0,2,1,0,0,0,1,0,0,0,0,1,0,3,0,1,0,0,0,3,0,0,1,0,0
2020-04-19,0,0,6,0,1,0,0,1,0,3,0,0,179,0,0,0,0,1,0,0,23,0,0,0,2,1,1,2,0,0,0,1,0,0,0,0,0,2,0,1,1,0,0,0,2,0,1,0,1,1,0,0,1,0,0,0,0,0,0,5,1,0,0,0,0
2020-04-20,0,0,4,0,0,4,0,0,0,0,0,0,256,0,1,1,0,2,2,0,38,0,1,0,3,7,0,1,0,0,0,0,3,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,0,3,0,3,0,1,0,0,0,7,0,0,3,0,1
2020-04-21,1,0,3,0,1,1,0,5,0,0,0,0,333,0,3,2,0,2,0,3,66,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,2,0,0,1,0,0,4,0,1,0,2,1,0,0,0,0,1,0,1,0,14,1,3,2,0,0
2020-04-22,1,0,7,0,1,3,0,1,0,0,0,0,307,0,1,1,0,0,0,1,78,0,0,0,0,3,0,1,0,0,0,0,2,0,0,0,3,1,2,1,0,3,0,0,1,0,0,0,1,0,1,1,0,5,0,0,0,0,0,3,1,0,2,0,1
2020-04-23,2,2,2,0,0,6,0,2,0,0,1,0,249,0,1,2,0,6,0,5,35,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,2,1,0,3,3,0,0,0,0,3,1,0,0,0,0,0,3,0,1,0,0,0,4,0,0,3,0,0
2020-04-24,0,1,4,0,0,2,0,3,0,0,1,0,257,1,2,1,0,1,0,0,43,0,1,0,2,0,2,1,1,0,5,1,1,0,0,0,0,5,0,1,0,3,0,0,0,0,2,0,0,3,0,1,1,2,0,2,0,0,0,9,6,1,2,0,0
2020-04-25,2,0,4,0,0,2,3,0,2,0,0,0,198,0,0,0,0,1,0,1,40,0,0,0,1,1,2,0,0,0,2,0,1,0,0,2,0,1,0,0,0,7,1,1,1,0,2,0,0,2,0,1,0,0,0,0,0,0,0,3,0,0,2,0,0
2020-04-26,0,0,4,0,0,0,1,1,0,0,0,0,198,0,1,1,0,1,0,1,38,1,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,3,5,0,0,0,0,1,4,0,0,0,0,0
2020-04-27,0,0,3,0,1,3,1,1,0,1,0,0,212,2,0,0,1,4,0,0,77,1,1,0,3,1,0,0,0,0,0,0,0,0,1,1,2,0,0,1,0,1,0,0,0,2,1,0,1,0,0,0,0,1,0,0,0,0,1,1,2,0,1,0,0
2020-04-28,7,0,3,0,2,2,0,3,0,1,1,0,156,0,0,0,0,2,1,0,51,0,0,1,2,1,0,0,5,0,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,3,3,0,1,0,0
2020-04-29,0,0,3,0,1,1,0,1,1,0,0,0,169,1,1,0,0,3,0,0,41,1,0,0,1,3,0,0,0,0,0,2,4,0,0,1,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,1,0
2020-04-30,1,0,3,0,0,4,0,0,2,0,0,0,181,0,1,0,0,1,0,0,39,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,2,1,2,0,0,1,0,3,0,0,0,0,1,0,2,0,0,0,0,0,0,0,11,0,1,1,0,1
2020-05-01,0,0,6,0,0,1,1,3,2,1,3,0,185,0,0,2,0,2,0,0,54,0,0,0,1,1,2,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,2,0,0,2,0,1
2020-05-02,2,0,3,0,0,0,0,1,0,0,1,1,198,0,1,0,1,1,0,0,64,0,0,0,0,4,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2020-05-03,0,0,2,0,1,0,0,1,0,0,1,0,137,0,1,2,0,2,1,1,46,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0
2020-05-04,0,0,12,0,0,1,0,0,0,0,0,0,174,0,1,0,0,1,0,0,58,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,1
2020-05-05,1,1,8,0,0,0,0,2,3,0,0,0,129,0,0,2,0,3,0,0,58,0,0,0,2,0,1,1,0,1,2,2,0,0,0,1,0,3,0,0,0,0,0,1,0,0,2,0,3,1,0,2,1,0,0,0,0,0,1,1,2,1,1,0,0
2020-05-06,0,0,10,0,1,2,0,1,0,0,0,0,148,0,0,1,0,5,0,0,57,0,0,2,0,0,1,0,0,0,1,0,3,0,0,0,1,2,0,0,0,3,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,5,1,0,2,0,0
2020-05-07,0,0,3,0,1,1,0,0,0,0,1,0,198,0,0,2,0,3,1,0,56,1,0,0,4,1,2,1,0,0,0,0,2,1,0,3,1,0,0,1,1,2,0,0,0,0,1,0,0,0,0,1,0,2,1,1,1,0,1,4,0,0,0,0,1
2020-05-08,0,0,10,1,1,0,0,3,0,0,0,2,154,0,1,2,0,2,0,1,54,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,4,1,0,0,0,0
2020-05-09,0,0,4,0,0,2,0,0,0,0,0,0,112,0,0,0,0,1,0,0,50,0,0,3,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,1,1,0,0
2020-05-10,1,0,3,0,0,1,0,0,0,0,0,0,124,0,0,1,0,5,0,0,39,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,0,0,0
2020-05-11,1,0,7,0,0,1,0,0,1,0,0,0,105,0,0,0,0,6,0,0,49,0,1,1,2,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0
2020-05-12,0,0,6,0,1,1,0,0,0,0,0,0,147,0,3,3,0,6,0,0,48,0,0,1,2,0,2,0,0,0,0,0,1,0,1,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0
2020-05-13,0,0,14,0,0,0,0,0,0,0,0,0,131,0,0,0,1,4,0,2,64,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0
2020-05-14,2,0,4,0,1,1,0,1,0,0,0,0,196,0,0,1,1,7,0,0,51,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,1,0,0
2020-05-15,0,1,10,0,0,1,0,1,0,0,1,0,178,0,0,0,0,3,0,2,59,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,2,0,0,1,0,0,7,0,0,2,0,0
2020-05-16,1,0,24,0,0,2,0,2,0,0,0,0,215,0,0,1,0,13,1,0,69,1,0,0,3,2,1,1,0,0,0,0,3,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,2,1,0,1,1,0,0,2,0,5,0,0,2,0,0
2020-05-17,0,0,19,0,0,1,0,0,0,3,0,0,151,0,0,1,0,11,0,0,65,0,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,2,0,1,0,0,0,2,2,0,0,0,0
2020-05-18,0,0,13,0,1,3,0,1,0,0,0,1,176,0,3,0,0,6,0,0,84,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,2,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0
2020-05-19,0,0,16,0,0,0,0,0,0,0,0,0,138,0,0,0,0,4,0,0,67,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,10,0,0,1,0,0
2020-05-20,0,0,16,0,0,1,0,0,0,0,0,0,208,0,1,0,0,4,0,0,56,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,2,4,0,0,2,0,0
2020-05-21,0,0,13,0,1,2,0,0,0,0,0,0,227,0,0,1,0,12,0,0,71,1,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,7,0,1,0,0,0
2020-05-22,2,1,15,0,0,1,0,0,0,1,0,0,259,0,0,1,0,13,0,3,90,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,1,6,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3,0,0,2,2,0,0,0,0,0
2020-05-23,0,0,23,0,0,1,0,0,0,0,0,1,281,0,0,2,0,4,0,0,129,0,0,0,0,0,6,3,0,0,0,0,1,0,0,1,0,5,0,1,0,0,2,0,0,0,0,0,1,2,0,5,0,1,1,0,1,0,0,1,0,0,1,0,0
2020-05-24,5,0,17,0,0,0,0,2,0,0,0,0,255,0,0,1,0,9,2,1,70,0,0,1,1,0,2,1,0,0,1,2,3,0,0,0,1,1,1,0,0,0,0,0,0,2,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
2020-05-25,0,0,19,0,0,1,0,0,0,0,1,3,260,0,0,1,0,8,0,1,77,0,0,1,1,0,0,2,0,0,0,0,1,0,0,0,1,2,0,0,2,1,1,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,1,5,0,1,0,1,0
2020-05-26,1,1,19,0,1,1,0,2,0,0,2,1,355,0,1,1,0,12,0,0,119,0,0,1,0,0,0,2,0,0,2,0,3,0,0,5,2,4,0,0,0,3,0,0,0,0,0,2,1,0,0,5,0,0,0,0,0,0,0,3,0,0,1,0,0
2020-05-27,1,0,26,0,0,2,0,0,1,0,0,0,375,0,3,1,0,7,0,0,86,0,1,5,1,0,2,0,1,0,1,1,3,0,0,0,1,3,0,1,1,2,0,0,0,0,0,0,0,2,0,2,0,5,2,0,1,0,0,1,1,0,2,1,1
2020-05-28,0,0,16,0,1,0,0,3,0,1,0,0,390,0,1,6,0,6,0,1,100,1,0,2,1,2,4,3,1,0,1,0,9,0,0,0,5,6,0,1,2,0,1,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,4,0,0,1,0,1
2020-05-29,1,0,21,0,0,0,0,3,2,0,0,0,376,0,2,2,0,3,0,1,118,0,2,2,0,4,2,1,0,0,0,0,2,0,0,1,1,4,1,1,2,3,0,0,0,1,1,0,2,0,2,0,0,2,0,0,0,0,0,6,1,0,0,0,0
2020-05-30,2,0,21,0,0,0,0,6,1,0,0,3,390,0,1,0,0,10,0,0,88,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2,3,0,0,1,4,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,8,0,1,0,0,2
2020-05-31,0,0,10,0,0,1,0,2,0,1,0,0,387,0,0,0,0,12,0,0,91,0,1,7,2,0,1,0,0,0,1,1,2,0,1,1,1,2,0,3,0,2,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
2020-06-01,1,0,15,0,0,2,0,4,1,0,0,0,355,0,1,1,0,7,0,0,85,1,1,1,3,1,0,0,0,0,0,0,4,0,0,0,1,4,0,2,1,1,0,0,0,1,1,1,0,2,0,2,0,1,0,0,0,0,2,5,0,1,0,0,0
2020-06-02,0,0,13,0,1,1,0,1,2,0,0,0,353,0,1,0,0,6,0,1,75,0,0,0,0,1,0,1,0,0,1,0,5,0,0,0,1,2,0,0,1,1,0,1,0,1,1,0,1,0,0,2,1,1,0,0,0,0,2,3,1,0,0,0,1
2020-06-03,2,0,13,0,0,2,0,1,0,0,1,2,352,0,4,0,0,9,0,0,86,0,2,0,0,0,4,2,0,1,0,0,3,0,0,0,2,5,0,0,0,5,0,0,0,0,1,0,0,0,0,6,0,2,0,0,0,0,0,7,3,0,1,0,0
2020-06-04,4,2,51,0,0,9,2,3,3,1,0,0,538,1,4,4,1,9,1,1,157,0,0,4,5,2,7,9,0,0,0,0,8,2,0,1,4,6,1,4,3,3,0,0,1,0,3,0,2,2,0,6,2,1,0,1,2,1,4,3,0,2,6,0,1
2020-06-05,8,1,105,1,2,17,0,16,4,1,1,2,1107,0,12,16,2,24,2,1,268,2,2,7,6,9,12,17,6,1,3,2,41,0,1,6,2,17,1,7,3,6,1,1,1,3,4,2,1,12,5,12,3,12,0,1,6,2,5,17,2,3,5,2,9
2020-06-06,7,6,82,0,2,8,3,3,0,1,3,1,916,1,17,14,0,33,1,3,182,1,1,3,12,11,7,9,1,3,4,2,21,0,2,4,1,8,1,0,7,4,0,5,2,3,4,2,5,4,4,9,0,8,2,2,3,1,4,18,3,5,4,0,3
2020-06-07,10,1,72,0,3,17,0,11,4,0,2,3,932,1,2,13,0,34,1,1,195,1,2,4,3,8,9,18,1,1,3,4,26,0,3,6,2,11,1,2,8,3,0,1,1,0,7,0,0,6,1,11,5,9,4,4,0,0,1,17,4,1,10,4,7
2020-06-08,9,1,58,1,0,14,2,4,2,2,1,1,725,0,10,9,2,19,1,4,148,3,0,3,1,14,7,16,0,2,2,0,32,1,0,3,2,9,1,0,3,4,5,0,1,2,1,4,1,4,1,4,1,7,1,0,0,1,13,26,3,4,13,0,2
2020-06-09,4,2,40,2,3,11,1,6,1,2,1,3,671,0,5,4,3,21,2,2,138,0,1,2,1,0,3,7,0,1,2,4,12,0,2,4,3,5,0,4,6,3,0,0,1,0,3,0,1,3,2,2,1,3,0,0,1,0,2,15,4,1,6,5,2
2020-06-10,3,2,33,1,1,5,0,5,0,1,2,0,504,0,3,3,2,11,0,2,73,0,2,1,2,4,2,6,0,0,1,0,8,1,0,6,2,6,1,7,3,4,0,0,2,1,1,2,1,1,0,5,0,0,0,0,4,0,4,7,3,5,3,1,2
2020-06-11,0,0,46,0,1,7,0,7,0,2,1,0,495,0,6,8,1,8,0,2,94,2,1,3,2,2,4,2,1,1,5,1,10,0,0,2,2,8,0,2,1,2,3,0,3,0,1,0,0,1,0,7,1,2,1,1,3,0,4,5,1,1,6,2,2
2020-06-12,0,2,34,0,4,4,0,4,1,0,0,2,492,0,5,4,0,7,1,0,87,2,0,2,5,4,0,10,0,0,3,3,8,0,1,3,0,6,1,4,1,5,0,2,0,0,3,0,1,2,0,2,2,3,1,1,1,2,3,4,5,2,6,3,1
2020-06-13,0,1,23,1,0,3,0,3,1,1,0,0,393,0,7,2,0,3,0,3,62,0,4,0,1,2,1,6,0,0,1,2,6,0,1,2,6,8,0,7,5,2,1,2,0,3,0,1,0,3,0,3,0,2,1,0,0,0,3,6,5,1,2,0,3
2020-06-14,4,0,17,2,0,2,1,4,1,0,0,4,413,0,3,4,1,7,0,1,66,3,0,1,1,2,0,7,0,0,3,1,9,0,6,7,0,4,1,4,2,2,0,0,3,2,1,1,1,1,1,3,0,8,1,2,0,0,3,5,5,0,11,0,1
2020-06-15,5,1,25,0,2,11,1,3,0,1,3,1,425,1,8,5,1,8,3,2,90,0,1,3,2,3,3,3,0,0,0,2,10,0,5,4,2,5,1,2,3,0,0,0,0,1,2,1,1,1,0,2,1,3,2,1,1,0,1,1,1,0,5,0,0
2020-06-16,3,0,19,2,1,0,0,5,4,0,3,4,380,0,3,2,4,9,0,1,99,3,1,0,3,9,2,4,3,0,1,0,8,2,0,4,0,1,0,4,0,0,0,5,1,0,3,0,0,2,2,6,5,4,0,0,1,1,2,1,8,3,11,2,2
2020-06-17,4,0,16,0,1,4,0,4,1,4,0,2,371,1,4,4,3,10,0,0,78,1,0,3,0,5,1,4,1,2,2,3,6,1,1,6,2,11,1,0,6,3,1,0,0,1,0,0,0,4,1,2,1,10,0,2,1,0,3,1,4,0,1,0,3
2020-06-18,4,3,43,1,6,4,0,13,1,1,0,5,840,1,8,17,5,12,2,1,179,0,3,3,5,11,4,7,4,3,5,4,8,3,2,3,6,9,1,10,2,8,0,1,5,0,5,2,2,8,3,6,0,6,1,0,1,2,1,15,9,3,19,1,5
2020-06-19,7,2,31,2,2,4,0,8,0,0,1,0,534,0,6,4,0,7,0,0,100,0,0,1,3,10,2,9,2,0,1,1,15,0,1,4,6,4,0,2,0,1,0,0,0,2,1,0,0,2,2,4,0,2,1,0,5,0,3,9,7,0,11,0,0
2020-06-20,7,2,22,0,1,1,0,6,5,0,0,2,484,1,7,12,1,2,3,3,86,1,0,0,2,3,3,2,0,1,4,4,9,0,0,1,4,7,2,3,1,1,1,1,1,2,0,0,0,4,5,4,1,3,0,0,1,2,1,3,9,0,7,2,2
2020-06-21,0,2,17,2,0,0,0,6,0,2,1,0,365,0,6,2,1,5,3,0,74,0,0,3,0,4,2,0,3,0,0,0,2,1,0,2,5,2,1,0,1,1,0,0,0,1,0,0,1,3,0,1,0,8,0,0,0,4,0,8,4,1,8,0,4
2020-06-22,5,1,20,0,3,1,0,8,2,0,0,2,402,0,8,2,6,14,0,1,95,2,0,1,4,7,2,2,1,2,2,0,9,0,1,0,0,1,0,5,1,5,0,1,0,1,2,3,0,6,1,6,1,10,0,2,0,0,0,5,1,2,4,1,3
2020-06-23,12,0,15,0,2,2,0,1,1,1,0,0,391,0,4,3,2,14,0,1,77,1,0,3,0,1,2,2,0,0,2,0,10,0,1,4,0,8,0,3,2,2,1,2,0,0,2,0,0,2,1,1,1,6,0,0,1,0,0,2,2,2,7,0,1
2020-06-24,2,0,16,2,4,2,0,7,1,0,2,1,353,3,2,3,0,8,1,1,57,0,0,1,4,2,4,0,0,1,0,1,9,0,1,3,2,10,0,3,1,4,2,4,3,1,0,1,1,3,1,4,2,3,0,0,0,0,2,3,3,1,0,1,4
2020-06-25,6,1,11,1,1,1,0,5,0,1,2,1,378,0,8,3,1,8,1,0,47,3,1,2,3,2,0,5,2,0,2,0,10,0,1,0,1,2,0,5,0,4,0,2,1,0,3,1,1,0,1,5,1,3,0,0,0,0,0,3,6,0,4,2,0
2020-06-26,1,5,13,0,1,3,0,2,0,0,2,0,316,0,4,2,1,5,2,4,60,1,0,0,5,5,0,1,0,0,1,1,3,0,1,3,4,0,1,4,1,2,0,1,0,0,0,1,0,1,1,1,3,0,1,0,2,0,2,2,3,2,1,1,0
2020-06-27,4,2,10,0,2,2,0,3,0,1,1,4,298,0,6,2,3,3,1,0,53,1,1,1,3,1,1,1,0,0,1,0,7,0,0,7,1,2,0,5,1,5,0,0,0,0,1,0,0,4,3,0,0,2,0,0,0,0,1,1,1,3,4,0,0
2020-06-28,4,3,10,0,1,1,0,3,1,0,4,3,262,0,6,3,1,7,0,1,55,0,0,1,1,3,1,0,0,0,0,0,7,0,1,1,2,2,1,0,1,4,1,0,0,0,0,0,1,3,1,2,3,1,2,0,0,0,0,6,2,3,2,1,2
2020-06-29,7,3,7,1,1,0,0,3,0,0,1,0,269,0,2,4,0,4,0,1,48,0,2,0,1,2,2,0,0,0,0,0,4,1,0,1,1,3,2,6,3,2,0,0,1,1,2,0,1,2,0,2,0,1,0,1,0,0,3,4,1,2,5,0,2
2020-06-30,3,4,13,1,1,2,0,3,0,0,1,3,289,1,8,2,0,4,0,2,57,0,0,3,1,4,0,2,0,1,0,1,8,0,1,0,2,1,0,3,0,0,0,0,0,4,1,0,0,0,0,4,0,2,0,1,0,0,1,0,4,1,0,0,2
2020-07-01,2,4,10,0,3,0,0,2,0,1,1,0,229,0,7,1,3,6,1,0,44,0,0,2,0,2,0,1,1,0,1,0,7,0,1,0,3,7,0,7,0,1,1,0,0,1,1,2,1,3,2,1,1,1,0,1,0,1,0,1,4,0,3,0,5
2020-07-02,0,1,3,0,0,1,0,0,2,3,0,0,190,0,3,0,0,4,0,0,31,0,0,0,0,0,2,0,0,1,1,0,5,0,1,0,0,4,0,4,3,0,0,0,0,1,1,0,1,0,1,4,0,0,0,0,0,0,0,1,1,2,4,0,2
2020-07-03,0,0,9,1,0,3,0,3,2,1,0,0,204,0,4,2,1,1,0,0,40,3,0,0,1,2,5,2,0,0,0,1,3,0,0,2,0,6,0,2,0,0,0,0,0,2,1,3,1,2,2,4,1,0,0,0,0,0,1,1,2,0,6,0,0
2020-07-04,1,3,5,0,0,1,0,2,0,0,0,0,221,0,0,2,0,1,0,0,66,1,0,0,2,4,2,1,0,0,0,0,1,0,0,4,2,3,0,4,2,0,0,0,0,0,1,0,2,1,0,0,0,4,0,1,0,0,1,6,3,0,2,0,0
2020-07-05,0,2,3,1,1,1,0,0,0,0,0,0,200,1,3,1,0,5,1,0,36,0,0,2,0,3,0,1,0,0,2,0,2,0,0,3,0,3,1,3,1,0,0,0,0,5,1,0,1,1,1,0,0,5,0,0,0,0,1,3,0,1,6,3,1
2020-07-06,0,0,6,2,0,3,0,1,0,1,0,0,197,0,2,1,0,7,0,1,45,2,1,0,0,0,0,0,0,1,0,1,1,0,0,0,2,0,0,6,1,1,0,0,2,3,0,0,1,0,2,1,0,1,0,2,0,0,1,2,5,1,3,0,0
2020-07-07,1,2,6,0,1,0,0,2,0,0,0,2,209,0,3,6,0,1,1,0,28,1,1,1,4,5,1,0,1,1,0,0,2,0,0,2,2,1,1,1,0,3,0,2,0,1,4,1,0,4,0,5,0,0,0,0,0,0,1,7,4,0,1,1,2
