date,Comilla,Sunamganj,Manikganj,Kishoreganj,Kushtia,Jhenaidah,Sirajganj,Rangamati,Chittagong,Nilphamari,Thakurgaon,Pabna,Rajshahi,Cox's Bazar,Chapainawabganj,Sylhet,Munshiganj,Tangail,Feni,Maulvibazar,Chuadanga,Magura,Bagerhat,Kurigram,Netrokona,Meherpur,Narsingdi,Pirojpur,Gopalganj,Mymensingh,Khulna,Jhalokati,Narayanganj,Khagrachhari,Lakshmipur,Noakhali,Narail,Natore,Chandpur,Jamalpur,Rajbari,Patuakhali,Gazipur,Jaipurhat,Sherpur,Unknown,Habiganj,Dhaka,Naogaon,Satkhira,Faridpur,Dinajpur,Shariatpur,Bandarban,Rangpur,Bogra,Madaripur,Brahmanbaria,Barguna,Barisal,Bhola,Jessore,Gaibandha,Lalmonirhat,Panchagarh
2020-04-13,0,0,0,1,0,1,0,0,9,0,0,0,2,1,1,1,1,2,1,0,1,0,0,0,9,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,247,0,27,3,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
2020-04-14,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,5,1,0,0,0,0,0,1,0,0,1,0,1,249,0,18,0,0,0,0,0,0,4,1,0,0,0,0,0,0,1,0,0
2020-04-15,2,0,0,3,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,3,1,0,1,0,0,0,1,0,0,1,0,0,198,3,32,2,0,3,1,0,0,0,3,0,0,0,0,0,1,0,0,0
2020-04-16,0,0,1,0,1,0,0,0,6,0,0,0,1,0,0,3,0,1,0,0,0,0,0,0,0,0,2,0,1,0,1,0,7,0,0,0,0,0,0,0,1,0,0,0,0,139,0,25,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2020-04-17,0,0,0,1,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,0,0,0,0,1,0,0,0,5,0,0,191,0,46,0,1,0,0,0,0,1,2,0,2,0,0,0,0,0,0,0
2020-04-18,0,0,0,3,1,0,1,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,3,0,6,0,0,0,0,0,0,1,0,0,0,0,0,180,0,26,0,0,3,1,0,0,2,1,0,0,0,1,0,0,0,0,0
2020-04-19,0,0,0,0,1,0,1,0,5,0,1,0,1,1,0,2,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,5,0,0,0,3,0,0,0,0,0,1,0,1,151,0,21,0,0,0,0,0,0,2,1,0,0,0,0,1,1,1,0,0
2020-04-20,3,0,0,2,0,0,1,0,4,0,1,1,0,2,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,3,0,7,0,0,1,0,0,4,0,1,1,2,0,0,266,0,35,0,0,0,0,0,0,3,7,0,0,0,3,0,0,0,0,0
2020-04-21,0,0,0,1,1,2,0,0,4,0,0,0,2,0,0,1,0,3,1,2,0,0,1,1,0,0,0,2,0,5,1,0,14,0,0,2,0,0,1,3,0,0,2,0,1,327,4,63,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0
2020-04-22,2,0,0,5,1,0,0,0,5,0,1,3,1,1,2,0,0,0,3,1,0,0,1,0,1,0,0,0,0,1,3,0,3,0,0,1,0,0,3,1,0,1,0,0,0,321,0,77,0,0,0,2,0,0,0,3,0,2,0,1,0,0,0,0,0
2020-04-23,0,0,0,2,0,1,3,0,4,0,0,2,0,0,1,3,2,0,1,0,0,0,0,1,0,0,1,0,1,2,3,0,2,0,0,1,0,0,0,2,0,0,6,0,0,245,0,43,0,2,1,1,0,0,1,0,0,2,0,0,0,1,0,0,0
2020-04-24,1,1,0,3,0,0,2,0,4,0,0,4,1,1,0,5,1,3,1,1,1,0,0,2,0,1,2,0,1,3,2,0,11,0,0,2,0,0,8,3,0,0,0,0,0,244,0,43,0,1,0,0,0,0,2,0,5,0,0,1,1,6,1,0,0
2020-04-25,0,0,0,0,0,0,1,1,4,2,1,7,0,0,0,1,0,2,1,0,0,0,0,0,0,0,2,0,0,0,1,0,3,0,0,0,0,0,2,1,0,0,2,0,1,213,0,34,0,0,2,0,0,0,1,1,2,2,0,1,0,0,0,0,3
2020-04-26,2,0,0,4,0,0,1,0,3,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,4,0,1,1,0,1,0,1,0,0,1,0,0,189,4,45,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,1
2020-04-27,1,0,0,2,1,0,1,0,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,1,0,1,0,1,0,1,1,3,0,1,0,3,0,0,225,2,71,0,0,1,2,0,0,3,1,0,0,1,0,0,1,0,0,1
2020-04-28,2,5,0,1,2,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,3,0,0,0,0,0,2,0,0,0,3,0,0,153,0,52,1,0,0,0,0,0,2,1,1,7,0,0,1,2,0,0,0
2020-04-29,3,0,0,1,1,0,0,0,4,1,0,1,2,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,1,1,0,0,0,1,1,1,0,0,0,3,0,0,164,0,41,0,0,1,0,0,0,1,3,0,0,0,0,2,2,2,0,0
2020-04-30,1,0,0,0,0,0,0,0,2,2,3,0,2,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1,0,10,0,0,0,0,1,3,0,0,1,1,0,1,177,0,38,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,0,0
2020-05-01,0,1,0,0,0,0,0,0,5,2,0,0,0,0,1,3,2,0,0,0,0,0,0,0,2,0,2,0,3,1,2,0,3,0,0,2,1,0,2,0,0,1,2,0,0,197,0,61,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1
2020-05-02,0,0,1,0,0,0,0,1,5,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,183,0,55,0,0,0,0,0,0,0,4,0,1,1,1,0,0,0,0,0
2020-05-03,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,2,1,2,1,0,0,2,0,0,2,0,0,0,1,3,0,2,0,0,146,0,51,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
2020-05-04,0,0,0,1,1,0,1,0,11,0,0,0,0,0,0,0,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,1,0,0,1,1,0,0,179,0,49,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0
2020-05-05,0,0,0,0,0,0,1,1,7,3,0,0,0,1,0,3,0,1,0,0,0,0,0,0,3,0,1,0,0,2,1,0,3,0,1,2,0,0,0,0,0,0,3,1,0,128,0,59,0,0,1,0,0,0,2,0,2,0,0,1,2,2,0,0,0
2020-05-06,3,0,0,0,1,0,1,0,10,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,5,0,0,1,0,0,1,0,0,0,5,0,0,140,1,65,2,1,0,1,0,0,0,0,1,1,0,2,0,1,1,0,0
2020-05-07,1,0,0,2,0,0,0,0,5,0,0,2,1,1,0,2,0,0,0,0,0,0,0,1,0,0,2,1,0,0,1,0,4,0,0,2,0,1,1,0,0,1,3,0,0,197,0,50,0,0,1,1,1,1,4,1,0,0,0,1,0,0,0,0,0
2020-05-08,2,0,2,0,2,0,1,0,7,0,0,0,0,0,0,0,1,2,1,0,0,1,0,0,0,0,0,0,1,2,0,0,4,1,1,0,0,0,1,0,0,0,2,0,0,158,0,62,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0
2020-05-09,0,0,0,0,0,0,0,0,6,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,2,0,0,2,0,0,2,1,0,0,0,0,0,121,0,46,3,0,1,2,0,0,1,0,0,0,0,0,0,0,1,0,0
2020-05-10,1,0,0,0,0,0,2,0,4,0,0,0,5,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,6,0,0,129,0,40,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
2020-05-11,0,0,0,1,0,0,0,0,7,1,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,1,0,6,0,0,101,0,48,0,0,0,1,0,0,2,1,0,1,0,0,0,0,0,0,0
2020-05-12,1,0,0,0,1,0,0,0,6,0,0,1,1,2,0,1,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,1,3,0,0,3,0,0,1,0,1,0,6,0,0,139,0,53,2,0,0,2,0,0,1,0,0,0,0,2,0,0,0,1,0
2020-05-13,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,4,0,0,140,0,54,0,0,3,0,0,0,1,0,0,0,1,0,0,1,0,0,0
2020-05-14,0,0,0,0,1,0,0,0,10,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,4,1,0,0,1,0,0,0,6,0,0,186,0,52,0,0,2,1,0,0,1,0,0,1,1,0,0,0,0,0,0
2020-05-15,2,1,0,1,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,8,0,0,0,0,0,1,0,0,0,3,0,0,176,2,63,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0
2020-05-16,2,0,0,1,0,0,0,0,26,0,0,0,0,1,1,2,0,0,0,0,0,0,2,0,0,0,1,1,0,1,1,0,4,0,0,1,0,1,2,2,0,0,13,0,1,219,0,62,0,0,0,0,0,1,3,2,0,1,0,1,0,0,0,2,0
2020-05-17,1,0,0,3,0,0,0,0,12,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,2,0,0,1,1,0,3,0,0,1,3,0,0,0,0,0,12,0,1,158,0,70,0,0,0,0,0,0,2,0,0,0,0,0,0,2,2,0,0
2020-05-18,0,0,1,0,1,0,0,0,18,0,0,0,1,0,0,1,2,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,4,0,0,0,6,0,0,183,1,85,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0
2020-05-19,0,0,0,0,0,0,0,0,17,0,0,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,4,0,0,125,0,69,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0
2020-05-20,2,0,0,0,0,0,0,0,16,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,3,0,4,0,2,0,0,0,1,0,0,0,2,0,0,207,0,58,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
2020-05-21,5,0,0,0,0,0,0,0,11,0,0,1,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,8,0,0,1,0,1,2,0,0,0,13,0,0,207,0,67,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-22,3,0,0,0,1,1,0,0,14,0,0,0,0,1,0,5,2,1,0,0,0,0,0,3,0,0,1,0,0,0,0,0,2,0,2,1,1,0,1,0,0,0,12,0,0,246,0,87,0,1,1,1,0,0,0,1,0,2,0,0,0,0,0,0,0
2020-05-23,0,0,1,0,0,0,0,0,24,0,0,0,0,3,0,7,0,2,0,0,0,0,0,0,0,0,5,0,0,0,1,0,1,0,0,2,0,0,1,3,0,0,6,0,2,296,0,118,0,0,1,0,1,1,0,0,0,0,0,4,0,0,0,0,0
2020-05-24,4,0,0,2,0,0,1,0,17,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,3,2,0,2,1,0,0,0,0,1,0,0,0,1,0,0,8,0,0,257,1,85,1,0,0,1,0,0,1,0,1,5,0,2,2,0,0,0,0
2020-05-25,1,0,3,0,0,0,1,0,21,0,0,1,0,2,1,2,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,5,0,0,1,0,0,1,1,0,0,8,0,1,262,1,73,1,0,0,1,0,0,1,0,0,0,0,3,0,0,0,0,0
2020-05-26,1,0,1,0,1,1,0,0,20,0,0,3,0,2,0,5,0,0,1,0,0,0,0,0,1,0,0,0,2,2,1,0,2,0,1,0,0,0,1,0,0,0,12,0,0,333,0,122,1,1,5,2,0,0,0,0,2,1,0,6,0,0,0,0,0
2020-05-27,5,1,0,5,0,1,0,0,23,1,0,2,1,0,0,3,1,2,3,0,1,0,0,0,0,0,0,0,0,0,2,1,2,0,0,2,0,0,2,0,0,1,7,0,0,376,0,89,5,0,0,1,1,2,1,0,1,1,0,2,0,1,0,0,0
2020-05-28,8,1,0,0,1,0,0,0,19,0,0,0,1,2,0,6,1,1,1,0,0,0,1,0,0,0,6,0,0,3,1,0,3,0,0,6,1,1,0,1,0,1,7,0,1,372,0,91,2,0,0,5,0,1,0,2,1,0,0,1,1,0,0,0,0
2020-05-29,3,0,0,2,0,0,1,0,19,2,0,3,1,2,1,4,3,1,2,0,0,0,2,0,2,0,2,0,0,3,0,0,3,0,0,1,0,0,0,1,0,0,3,0,0,395,1,117,1,0,1,1,0,0,1,4,0,0,0,0,0,1,0,0,0
2020-05-30,0,0,3,0,0,0,0,1,21,1,0,1,0,1,0,3,1,1,1,1,2,0,0,0,1,0,0,0,0,6,0,0,8,0,0,1,0,0,0,0,0,2,10,0,0,400,0,94,2,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0
2020-05-31,2,0,0,0,0,1,1,0,10,0,0,5,0,0,0,2,0,1,0,0,1,0,0,0,0,0,1,0,0,2,0,0,7,0,1,0,1,0,1,0,1,0,11,0,0,392,0,94,7,0,1,1,0,0,2,1,1,0,0,0,1,0,0,0,0
2020-06-01,4,0,0,1,0,1,1,0,17,1,0,1,5,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,4,0,0,4,0,0,1,0,1,2,0,0,0,8,0,0,341,1,84,1,0,0,1,0,0,3,1,0,1,0,2,0,0,0,0,0
2020-06-02,3,0,0,0,1,0,1,1,13,2,0,1,0,1,0,4,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,3,0,4,0,0,0,1,1,0,1,6,0,0,375,1,75,0,0,0,1,0,0,0,1,1,0,0,2,0,1,1,0,0
2020-06-03,5,0,2,3,0,0,1,0,14,0,0,5,0,1,0,5,0,0,4,0,0,0,0,0,0,0,2,0,1,1,1,0,8,0,0,0,0,0,2,0,0,0,8,1,0,332,0,90,0,0,0,2,0,0,0,0,0,2,0,6,0,3,0,0,0
2020-06-04,7,0,0,1,0,0,3,0,37,3,1,3,4,7,1,4,2,2,1,2,2,0,0,0,0,1,9,0,0,1,5,0,2,0,4,2,0,0,8,1,0,1,8,0,0,469,0,134,1,2,1,2,2,0,4,0,0,4,1,5,0,0,1,1,2
2020-06-05,42,2,2,12,2,2,4,1,106,4,1,6,6,18,1,19,4,10,15,3,2,1,3,1,3,0,12,3,1,9,4,2,16,2,4,17,2,2,17,1,1,9,23,1,0,1113,3,258,5,1,5,4,6,0,6,11,2,7,2,9,2,2,4,2,0
2020-06-06,17,5,1,6,2,2,4,5,89,0,2,4,1,11,1,7,7,5,14,5,1,0,6,3,4,1,7,1,2,12,6,0,15,0,5,12,1,1,9,2,2,3,31,3,1,934,2,212,8,5,4,1,3,2,12,11,5,6,0,13,2,3,0,0,3
2020-06-07,28,1,1,8,3,0,7,1,67,4,1,2,2,18,1,8,8,7,5,1,2,0,1,4,1,1,9,1,3,11,10,4,22,0,1,16,0,1,17,2,3,5,38,1,0,927,1,179,3,2,5,2,0,4,4,7,3,10,0,11,4,3,3,1,0
2020-06-08,33,0,3,10,0,3,1,0,62,2,0,5,0,16,1,12,3,4,9,4,0,1,1,0,0,0,7,1,0,3,13,0,18,1,13,9,2,3,11,4,0,4,17,2,3,754,2,150,4,1,5,2,0,1,1,13,2,11,2,4,0,4,3,1,2
2020-06-09,12,0,3,3,3,1,3,0,44,1,2,3,3,7,0,6,6,3,6,1,1,2,1,0,2,0,3,2,2,7,5,3,23,0,2,4,2,0,12,2,2,1,22,1,2,676,0,145,2,2,3,3,1,0,1,2,2,4,3,2,1,4,1,0,1
2020-06-10,8,0,0,0,1,2,1,0,34,0,2,4,7,6,1,6,3,1,3,5,2,1,1,0,1,0,1,0,2,4,4,3,7,1,4,3,1,0,7,2,0,3,12,0,0,517,1,84,1,2,7,2,4,0,2,4,1,3,2,5,3,3,0,0,0
2020-06-11,8,1,0,1,1,0,1,0,39,0,3,2,2,2,0,8,1,1,6,1,1,0,0,1,0,0,5,0,1,8,6,1,4,0,4,8,2,2,7,2,0,2,9,1,3,504,0,93,3,0,2,2,3,1,2,2,5,0,1,7,1,1,1,0,0
2020-06-12,11,0,1,4,4,0,3,2,34,1,0,5,4,10,1,6,1,2,5,2,0,0,0,1,1,0,0,1,0,4,4,4,5,0,2,4,0,1,4,0,1,1,7,0,0,476,0,83,2,2,3,0,1,1,5,4,3,0,0,2,3,5,2,2,0
2020-06-13,6,0,1,2,0,1,0,2,30,1,0,1,8,4,0,8,5,3,7,1,4,1,0,0,0,0,1,0,0,3,4,0,4,0,2,2,0,1,3,3,1,3,2,0,1,419,2,68,0,1,2,5,0,1,1,2,1,0,0,3,2,4,0,0,0
2020-06-14,8,0,3,5,0,1,1,0,17,0,3,3,3,9,1,3,2,1,3,0,0,2,1,2,1,0,0,0,0,3,10,0,7,0,5,3,1,2,2,1,5,1,8,0,0,418,2,62,1,0,7,1,0,0,1,1,3,4,1,2,1,3,0,0,1
2020-06-15,10,0,2,6,2,1,2,0,26,1,0,0,3,2,1,5,3,1,8,0,1,0,0,1,1,1,3,3,3,4,5,0,1,0,1,6,1,1,11,0,6,0,8,0,0,412,2,86,3,1,4,2,0,3,2,4,0,5,1,2,2,4,1,0,1
2020-06-16,8,3,1,4,1,0,1,5,18,3,1,0,4,4,0,2,0,2,3,3,1,2,2,0,0,0,2,0,3,4,11,2,1,2,1,2,0,3,0,3,0,2,9,0,0,384,0,102,0,0,4,0,2,0,3,6,1,3,4,7,0,8,4,1,0
2020-06-17,7,1,5,9,0,0,2,0,15,2,0,3,0,5,1,11,6,4,4,0,0,0,0,2,0,1,1,0,0,5,2,0,0,1,4,3,4,1,4,0,1,3,10,2,1,359,1,77,3,0,6,2,0,0,0,8,2,4,3,2,3,4,1,0,0
2020-06-18,8,4,5,7,7,2,5,1,43,1,5,6,8,7,1,9,2,8,7,3,3,1,4,0,2,1,4,2,0,13,19,1,15,3,1,18,0,0,4,1,2,5,11,3,0,833,0,173,3,3,3,6,2,1,5,11,4,3,5,4,3,8,1,1,0
2020-06-19,15,2,0,2,2,0,1,0,33,0,0,3,4,9,0,3,0,2,6,0,0,2,1,0,0,0,2,0,1,7,10,0,9,0,3,4,1,0,4,0,1,0,7,0,0,534,1,108,1,2,3,6,2,1,2,10,2,7,0,6,2,8,0,1,0
2020-06-20,9,0,2,3,1,0,0,1,21,5,1,1,3,2,0,8,1,4,8,0,0,0,6,0,0,1,3,3,0,7,7,2,3,0,1,12,0,1,1,3,0,2,2,1,1,520,3,89,0,2,2,4,4,0,3,3,4,8,1,4,4,9,1,2,0
2020-06-21,2,3,0,1,0,0,0,0,17,0,0,1,0,0,3,1,1,2,4,1,0,2,0,0,1,0,2,3,1,6,9,0,9,1,0,2,2,0,0,0,0,3,6,0,0,328,1,62,3,2,2,4,0,0,0,3,0,0,1,1,0,1,0,4,0
2020-06-22,8,1,2,16,3,3,2,1,21,2,0,4,5,2,0,2,1,7,9,2,0,0,1,2,0,0,2,0,0,7,3,1,5,0,0,2,0,2,1,1,1,4,14,2,0,419,1,104,1,1,0,1,0,0,4,7,0,5,6,6,0,4,1,0,0
2020-06-23,11,0,0,7,1,0,2,2,15,1,0,3,3,2,0,8,2,2,5,2,0,0,1,0,0,0,2,0,0,2,6,0,2,0,0,3,1,1,1,1,1,1,14,0,1,402,0,77,3,0,4,0,1,0,0,2,4,11,1,0,0,2,1,0,0
2020-06-24,9,0,1,3,4,1,0,4,17,1,3,4,2,0,0,7,1,3,2,1,0,1,1,0,0,3,4,1,2,6,2,1,3,0,2,3,0,0,3,1,1,4,8,1,2,357,1,55,1,0,3,2,0,0,4,2,0,3,1,5,1,3,2,0,0
2020-06-25,9,2,1,3,2,1,3,2,9,0,1,4,5,5,0,5,0,0,4,0,1,2,1,0,2,0,0,1,2,5,4,2,0,0,0,1,1,3,1,0,1,0,8,0,0,364,0,49,2,1,0,1,0,0,3,2,2,6,1,5,0,5,1,0,0
2020-06-26,2,0,0,0,1,1,0,1,14,0,0,2,5,1,1,0,1,0,8,2,0,0,1,0,0,0,0,0,2,3,1,1,4,0,2,4,0,1,2,4,1,0,4,0,0,321,0,60,0,5,3,4,1,1,4,4,1,1,1,1,1,4,3,0,0
2020-06-27,9,0,4,2,2,0,1,0,10,0,0,5,5,1,0,1,1,5,5,3,1,0,3,0,0,0,1,3,1,3,4,0,2,0,1,2,1,1,3,0,0,0,4,0,0,309,0,54,1,2,7,1,1,0,4,2,1,4,2,0,0,1,0,0,0
2020-06-28,7,0,3,1,1,0,0,0,11,1,0,3,0,0,1,3,1,3,7,3,0,0,1,0,1,0,1,0,4,3,2,1,6,0,0,3,0,0,1,1,1,2,5,0,1,261,0,57,1,3,1,2,0,2,1,2,0,1,2,2,0,2,3,0,0
2020-06-29,3,0,0,1,1,0,1,0,7,0,1,3,5,0,2,3,3,2,2,2,2,1,0,1,1,0,2,0,1,3,4,0,4,1,3,4,0,0,0,1,0,2,4,0,0,269,1,41,0,2,0,1,0,0,0,3,0,7,0,2,0,1,0,0,0
2020-06-30,9,0,3,2,1,0,2,0,13,0,0,0,4,2,0,1,0,0,7,1,0,1,0,1,0,1,0,0,1,3,1,0,0,0,1,2,0,0,2,1,1,2,5,1,0,296,4,66,3,5,1,2,0,0,2,4,0,6,0,4,1,4,0,0,0
2020-07-01,5,1,0,1,3,2,1,0,9,0,0,1,3,1,0,6,0,3,8,0,0,0,2,0,0,0,0,1,0,2,3,0,1,0,0,1,1,0,0,1,1,1,6,0,1,223,1,43,2,4,0,3,0,0,0,2,1,2,3,1,0,4,0,1,0
2020-07-02,6,0,0,0,0,0,1,0,4,2,0,0,7,0,0,5,3,0,3,0,0,0,1,1,1,0,2,0,1,0,4,0,1,0,0,0,3,0,1,0,1,6,5,1,0,194,1,31,0,1,0,0,0,0,0,0,1,0,0,4,0,1,1,0,0
2020-07-03,3,0,0,0,0,3,1,0,7,1,0,0,2,2,0,6,0,2,4,2,0,1,2,0,1,0,4,0,0,3,5,0,1,0,0,2,1,3,3,0,0,0,1,0,0,193,2,36,0,0,2,0,0,0,1,2,0,0,1,4,1,2,1,0,0
2020-07-04,2,0,0,4,0,0,1,0,7,1,0,0,5,1,0,3,2,1,0,0,0,0,0,1,2,0,3,0,0,2,2,0,6,0,2,1,0,1,1,0,0,0,1,0,0,237,0,69,0,3,4,1,0,0,2,0,0,1,0,0,0,3,0,0,0
2020-07-05,2,0,0,5,1,0,1,0,3,0,0,0,1,0,1,3,1,1,3,1,0,1,1,0,1,1,0,1,0,0,7,3,3,0,1,2,0,0,1,0,0,1,3,0,0,194,5,36,2,2,3,1,0,0,0,7,2,0,0,0,0,0,0,0,0
2020-07-06,1,0,0,1,0,0,0,0,5,0,2,1,8,1,0,0,0,0,2,1,1,2,2,1,1,0,0,0,0,1,2,0,2,0,1,1,1,2,3,1,0,0,9,1,0,203,2,47,0,0,0,2,0,0,0,0,0,0,0,1,1,5,0,0,0
2020-07-07,2,1,2,0,1,1,3,2,7,0,0,3,1,0,1,0,1,4,2,0,1,0,0,1,0,0,1,1,0,2,2,1,6,0,0,6,0,1,0,0,0,2,1,1,0,198,1,26,1,2,1,2,0,0,4,5,0,1,0,5,0,4,0,0,0
